,file_name,face_pt1_x_pos,face_pt1_y_pos,face_pt2_x_pos,face_pt2_y_pos,left_eye_pt1_x_pos,left_eye_pt1_y_pos,left_eye_pt2_x_pos,left_eye_pt2_y_pos,right_eye_pt1_x_pos,right_eye_pt1_y_pos,right_eye_pt2_x_pos,right_eye_pt2_y_pos,left_eye_horizontal,left_eye_vertical,right_eye_horizontal,right_eye_vertical,face_detection,left_eye_close,right_eye_close,result_close,face_confidence
0,R_216_60_M_01_M0_G1_C0_01.jpg,248.0,705.0,508.0,1089.0,361.0,702.0,449.0,706.0,367.0,700.0,391.0,706.0,88.0056816347672,3.0,4.123105625617661,2.23606797749979,1,1,0,0,841
0,R_216_60_M_01_M0_G1_C0_02.jpg,250.0,706.0,508.0,1091.0,369.0,701.0,420.0,705.0,366.0,697.0,386.0,703.0,51.15662224971465,3.605551275463989,13.0,3.1622776601683795,1,1,0,0,840
0,R_216_60_M_01_M0_G1_C0_03.jpg,236.0,717.0,503.0,1105.0,428.0,708.0,494.0,712.0,386.0,705.0,413.0,712.0,66.03029607687671,2.8284271247461903,24.041630560342615,6.082762530298219,1,1,0,0,839
0,R_216_60_M_01_M0_G1_C0_04.jpg,148.0,740.0,391.0,1125.0,258.0,710.0,294.0,711.0,246.0,712.0,275.0,714.0,7.0,1.4142135623730951,10.04987562112089,6.324555320336759,1,0,0,0,846
0,R_216_60_M_01_M0_G1_C0_05.jpg,241.0,735.0,494.0,1118.0,371.0,708.0,418.0,711.0,349.0,709.0,356.0,711.0,47.042533945356304,2.23606797749979,4.47213595499958,1.0,1,1,0,0,854
0,R_216_60_M_01_M0_G1_C0_06.jpg,163.0,725.0,403.0,1088.0,306.0,704.0,355.0,706.0,272.0,703.0,302.0,708.0,33.0,2.23606797749979,19.4164878389476,8.06225774829855,1,1,0,0,802
0,R_216_60_M_01_M0_G1_C0_07.jpg,137.0,680.0,393.0,1092.0,248.0,682.0,278.0,690.0,241.0,691.0,257.0,700.0,26.92582403567252,5.830951894845301,8.94427190999916,7.615773105863909,1,0,0,0,877
0,R_216_60_M_01_M0_G1_C0_08.jpg,240.0,731.0,502.0,1123.0,438.0,710.0,463.0,714.0,340.0,708.0,363.0,710.0,25.079872407968907,2.8284271247461903,8.06225774829855,1.0,1,1,0,0,853
0,R_216_60_M_01_M0_G1_C0_09.jpg,208.0,742.0,462.0,1140.0,333.0,714.0,363.0,715.0,320.0,712.0,334.0,715.0,30.0,2.23606797749979,2.8284271247461903,4.0,1,1,0,0,872
0,R_216_60_M_01_M0_G1_C0_10.jpg,116.0,563.0,439.0,1082.0,205.0,682.0,241.0,717.0,266.0,653.0,304.0,700.0,43.60045871318328,5.0,50.32891812864648,5.385164807134504,1,1,1,1,829
0,R_216_60_M_01_M0_G1_C0_11.jpg,218.0,656.0,480.0,1033.0,313.0,687.0,351.0,697.0,330.0,689.0,364.0,708.0,39.05124837953327,2.0,28.844410203711913,1.0,1,1,1,1,741
0,R_216_60_M_01_M0_G1_C0_12.jpg,184.0,671.0,450.0,1054.0,314.0,687.0,347.0,692.0,297.0,682.0,333.0,696.0,16.278820596099706,4.47213595499958,13.601470508735444,7.615773105863909,1,0,0,0,867
0,R_216_60_M_01_M0_G1_C0_13.jpg,132.0,687.0,392.0,1107.0,234.0,691.0,297.0,697.0,226.0,690.0,257.0,699.0,63.198101237299845,5.656854249492381,11.40175425099138,5.0,1,1,0,0,782
0,R_216_60_M_01_M0_G1_C0_14.jpg,221.0,674.0,493.0,1070.0,415.0,696.0,502.0,711.0,358.0,690.0,390.0,704.0,87.5728268357257,7.211102550927978,27.294688127912362,7.0,1,1,0,0,844
0,R_216_60_M_01_M0_G1_C0_15.jpg,310.0,707.0,610.0,1161.0,460.0,692.0,515.0,697.0,483.0,694.0,516.0,704.0,55.0,4.242640687119285,18.027756377319946,3.1622776601683795,1,1,0,0,776
0,R_216_60_M_01_M0_G1_C0_16.jpg,0.0,671.0,258.0,1176.0,126.0,677.0,158.0,684.0,115.0,680.0,148.0,693.0,32.14031735997639,5.830951894845301,14.422205101855956,5.0,1,0,0,0,445
0,R_216_60_M_01_M0_G1_C0_17.jpg,294.0,668.0,591.0,1088.0,440.0,682.0,508.0,689.0,436.0,676.0,455.0,695.0,68.18357573492314,6.708203932499369,16.278820596099706,4.123105625617661,1,1,0,0,821
0,R_216_60_M_01_M0_G1_C0_18.jpg,271.0,698.0,567.0,1138.0,408.0,688.0,444.0,694.0,380.0,695.0,416.0,702.0,35.510561809129406,4.242640687119285,14.866068747318506,7.0710678118654755,1,1,0,0,805
0,R_216_60_M_01_M0_G1_C0_19.jpg,296.0,706.0,593.0,1126.0,446.0,696.0,500.0,700.0,430.0,695.0,455.0,703.0,50.08991914547278,3.605551275463989,13.038404810405298,5.0990195135927845,1,1,0,0,857
0,R_216_60_M_01_M0_G1_C0_20.jpg,338.0,698.0,612.0,1094.0,416.0,696.0,465.0,700.0,456.0,689.0,482.0,699.0,49.16299421312742,4.242640687119285,9.433981132056603,6.324555320336759,1,1,0,0,850
0,R_216_60_M_02_M0_G1_C0_01.jpg,79.0,548.0,394.0,1015.0,233.0,634.0,247.0,653.0,223.0,644.0,262.0,666.0,13.152946437965905,3.605551275463989,41.78516483155236,4.47213595499958,1,0,1,0,682
0,R_216_60_M_02_M0_G1_C0_02.jpg,298.0,626.0,613.0,1080.0,464.0,660.0,504.0,683.0,406.0,669.0,446.0,690.0,46.14108798023731,10.0,29.0,4.0,1,0,0,0,862
0,R_216_60_M_02_M0_G1_C0_03.jpg,388.0,644.0,688.0,1088.0,503.0,665.0,540.0,674.0,530.0,661.0,552.0,677.0,33.24154027718932,8.06225774829855,15.264337522473747,6.324555320336759,1,0,0,0,790
0,R_216_60_M_02_M0_G1_C0_04.jpg,260.0,645.0,565.0,1103.0,406.0,676.0,468.0,691.0,402.0,675.0,435.0,700.0,63.34824385884742,7.280109889280518,35.35533905932738,4.123105625617661,1,1,1,1,868
0,R_216_60_M_02_M0_G1_C0_05.jpg,186.0,667.0,464.0,1086.0,337.0,685.0,374.0,692.0,316.0,684.0,347.0,697.0,37.21558813185679,5.385164807134504,12.165525060596439,0.0,1,0,1,0,868
0,R_216_60_M_02_M0_G1_C0_06.jpg,147.0,689.0,410.0,1062.0,261.0,693.0,295.0,698.0,289.0,693.0,301.0,707.0,17.46424919657298,5.0,15.0,4.0,1,0,0,0,848
0,R_216_60_M_02_M0_G1_C0_07.jpg,179.0,717.0,459.0,1119.0,324.0,702.0,387.0,708.0,326.0,697.0,339.0,702.0,63.28506932918696,4.242640687119285,10.295630140987,5.385164807134504,1,1,0,0,823
0,R_216_60_M_02_M0_G1_C0_08.jpg,196.0,714.0,475.0,1124.0,350.0,699.0,415.0,706.0,326.0,701.0,353.0,708.0,65.19202405202648,4.242640687119285,16.55294535724685,9.055385138137417,1,1,0,0,838
