,file_name,face_pt1_x_pos,face_pt1_y_pos,face_pt2_x_pos,face_pt2_y_pos,left_eye_pt1_x_pos,left_eye_pt1_y_pos,left_eye_pt2_x_pos,left_eye_pt2_y_pos,right_eye_pt1_x_pos,right_eye_pt1_y_pos,right_eye_pt2_x_pos,right_eye_pt2_y_pos,left_eye_horizontal,left_eye_vertical,right_eye_horizontal,right_eye_vertical,face_detection,left_eye_close,right_eye_close,result_close,face_confidence,target_face_pt1_x_pos,target_face_pt1_y_pos,target_face_pt2_x_pos,target_face_pt2_y_pos,target_left_eye_pt1_x_pos,target_left_eye_pt1_y_pos,target_left_eye_pt2_x_pos,target_left_eye_pt2_y_pos,target_right_eye_pt1_x_pos,target_right_eye_pt1_y_pos,target_right_eye_pt2_x_pos,target_right_eye_pt2_y_pos,exist_mask,exist_glasses,face_visible,left_eye_visible,left_eye_opened,right_eye_visible,right_eye_opened
0,R_216_60_M_01_M0_G1_C0_01.jpg,248,705,508,1089,361,702,449,706,367,700,391,706,88.00568163,3,4.123105626,2.236067977,1,1,0,0,841,235.46,771.4,507.13,1079.17,320.95,815.09,374.15,853.09,442.54,845.49,486.2,894.9,0,1,1,1,1,1,0
0,R_216_60_M_01_M0_G1_C0_02.jpg,250,706,508,1091,369,701,420,705,366,697,386,703,51.15662225,3.605551275,13,3.16227766,1,1,0,0,840,214.56,756.2,524.23,1094.36,338.05,813.19,391.24,858.79,440.64,847.39,480.53,889.18,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_03.jpg,236,717,503,1105,428,708,494,712,386,705,413,712,66.03029608,2.828427125,24.04163056,6.08276253,1,1,0,0,839,224.06,788.5,520.43,1115.26,0,0,0,0,421.64,854.99,471.04,898.68,0,1,1,0,0,1,1
0,R_216_60_M_01_M0_G1_C0_04.jpg,148,740,391,1125,258,710,294,711,246,712,275,714,7,1.414213562,10.04987562,6.32455532,1,0,0,0,846,129.07,813.19,404.54,1120.96,178.46,878.79,241.2,924.4,292.45,851.19,343.75,896.78,0,1,1,1,0,1,1
0,R_216_60_M_01_M0_G1_C0_05.jpg,241,735,494,1118,371,708,418,711,349,709,356,711,47.04253395,2.236067977,4.472135955,1,1,1,0,0,854,216.46,790.39,495.73,1111.46,296.25,847.39,347.55,898.68,412.14,864.49,457.8,923.2,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_06.jpg,163,725,403,1088,306,704,355,706,272,703,302,708,33,2.236067977,19.41648784,8.062257748,1,1,0,0,802,146.17,773.3,433.04,1103.86,195.56,830.29,252.56,877.79,315.25,851.19,362.75,883.49,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_07.jpg,137,680,393,1092,248,682,278,690,241,691,257,700,26.92582404,5.830951895,8.94427191,7.615773106,1,0,0,0,877,92.97,763.8,419.74,1094.36,184.16,820.79,241.16,860.69,307.65,826.49,358.95,851.19,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_08.jpg,240,731,502,1123,438,710,463,714,340,708,363,710,25.07987241,2.828427125,8.062257748,1,1,1,0,0,853,214.56,794.19,514.73,1126.66,300.05,854.99,362.75,894.88,414.04,883.49,488.1,913.9,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_09.jpg,208,742,462,1140,333,714,363,715,320,712,334,715,30,2.236067977,2.828427125,4,1,1,0,0,872,178.46,807.49,467.24,1141.86,262.06,875.89,334.25,913.88,391.24,889.18,431.14,930.98,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_10.jpg,116,563,439,1082,205,682,241,717,266,653,304,700,43.60045871,5,50.32891813,5.385164807,1,1,1,1,829,96.77,676.41,457.74,1054.47,159.47,754.3,233.56,799.89,298.15,746.7,376.04,801.79,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_11.jpg,218,656,480,1033,313,687,351,697,330,689,364,708,39.05124838,2,28.8444102,1,1,1,1,1,741,172.76,712.5,516.63,1054.47,320.95,756.2,381.74,803.69,448.24,775.2,491.93,813.19,0,1,1,1,0,1,1
0,R_216_60_M_01_M0_G1_C0_12.jpg,184,671,450,1054,314,687,347,692,297,682,333,696,16.2788206,4.472135955,13.60147051,7.615773106,1,0,0,0,867,149.97,731.5,476.73,1050.67,229.76,794.19,282.95,830.29,343.75,799.89,415.94,828.39,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_13.jpg,132,687,392,1107,234,691,297,697,226,690,257,699,63.19810124,5.656854249,11.40175425,5,1,1,0,0,782,98.67,773.3,425.44,1092.46,172.76,830.29,225.96,877.79,290.55,822.69,342.7,854,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_14.jpg,221,674,493,1070,415,696,502,711,358,690,390,704,87.57282684,7.211102551,27.29468813,7,1,1,0,0,844,193.66,733.4,499.53,1067.77,288.65,790.39,349.4,835.99,412.14,818.89,467.24,854.99,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_15.jpg,310,707,610,1161,460,692,515,697,483,694,516,704,55,4.242640687,18.02775638,3.16227766,1,1,0,0,776,296.25,769.5,628.72,1179.86,366.55,841.69,429.24,894.88,488.13,885.38,554.63,927.18,0,1,1,1,0,1,0
0,R_216_60_M_01_M0_G1_C0_16.jpg,0,671,258,1176,126,677,158,684,115,680,148,693,32.14031736,5.830951895,14.4222051,5,1,0,0,0,445,0,708.7,286.75,1160.86,0,0,0,0,79.67,794.19,149.97,847.39,0,1,1,0,0,1,1
0,R_216_60_M_01_M0_G1_C0_17.jpg,294,668,591,1088,440,682,508,689,436,676,455,695,68.18357573,6.708203932,16.2788206,4.123105626,1,1,0,0,821,263.96,735.3,600.22,1098.17,366.55,794.19,425.44,830.29,362.75,940.48,486.24,1003.17,0,1,1,1,1,1,0
0,R_216_60_M_01_M0_G1_C0_18.jpg,271,698,567,1138,408,688,444,694,380,695,416,702,35.51056181,4.242640687,14.86606875,7.071067812,1,1,0,0,805,243.06,763.8,594.52,1136.16,387.44,847.39,459.64,894.88,509.03,868.29,564.13,915.78,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_19.jpg,296,706,593,1126,446,696,500,700,430,695,455,703,50.08991915,3.605551275,13.03840481,5.099019514,1,1,0,0,857,286.75,761.9,596.42,1145.66,358.95,820.79,438.74,879.69,499.53,854.99,560.33,904.38,0,1,1,1,1,1,1
0,R_216_60_M_01_M0_G1_C0_20.jpg,338,698,612,1094,416,696,465,700,456,689,482,699,49.16299421,4.242640687,9.433981132,6.32455532,1,1,0,0,850,317.15,742.9,624.92,1107.66,425.44,807.49,491.93,860.69,554.63,841.69,596.42,887.28,0,1,1,1,1,1,1
0,R_216_60_M_02_M0_G1_C0_01.jpg,79,548,394,1015,233,634,247,653,223,644,262,666,13.15294644,3.605551275,41.78516483,4.472135955,1,0,1,0,682,73.97,646.01,423.54,1016.47,100.57,699.2,153.77,744.8,216.46,701.1,296.25,739.1,0,1,1,1,1,1,1
0,R_216_60_M_02_M0_G1_C0_02.jpg,298,626,613,1080,464,660,504,683,406,669,446,690,46.14108798,10,29,4,1,0,0,0,862,267.75,704.9,630.62,1084.87,393.14,769.5,469.14,811.29,528.03,780.89,585.02,813.19,0,1,1,1,1,1,1
0,R_216_60_M_02_M0_G1_C0_03.jpg,388,644,688,1088,503,665,540,674,530,661,552,677,33.24154028,8.062257748,15.26433752,6.32455532,1,0,0,0,790,347.55,708.7,706.61,1130.46,535.63,779,590.72,820.79,653.42,803.69,689.51,870.19,0,1,1,1,1,1,1
