,file_name,face_pt1_x_pos,face_pt1_y_pos,face_pt2_x_pos,face_pt2_y_pos,left_eye_pt1_x_pos,left_eye_pt1_y_pos,left_eye_pt2_x_pos,left_eye_pt2_y_pos,right_eye_pt1_x_pos,right_eye_pt1_y_pos,right_eye_pt2_x_pos,right_eye_pt2_y_pos,left_eye_horizontal,left_eye_vertical,right_eye_horizontal,right_eye_vertical,face_detection,left_eye_close,right_eye_close,result_close,face_confidence,target_face_pt1_x_pos,target_face_pt1_y_pos,target_face_pt2_x_pos,target_face_pt2_y_pos,target_left_eye_pt1_x_pos,target_left_eye_pt1_y_pos,target_left_eye_pt2_x_pos,target_left_eye_pt2_y_pos,target_right_eye_pt1_x_pos,target_right_eye_pt1_y_pos,target_right_eye_pt2_x_pos,target_right_eye_pt2_y_pos,exist_mask,exist_glasses,face_visible,left_eye_visible,left_eye_opened,right_eye_visible,right_eye_opened
0,R_332_50_M_01_M0_G1_C0_01.jpg,139,576,470,1100,313,645,333,683,271,637,319,679,42.94182111,12.16552506,59.39696962,6.08276253,1,0,1,0,705,140.06,684.84,495.37,1091.11,175.3,777.49,238.14,802.29,324.07,752.27,379.64,778.78,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_02.jpg,139,576,470,1098,309,651,345,680,304,642,336,688,46.22769733,8.94427191,46.01086828,2,1,0,1,0,686,138.95,681.95,499.68,1090.07,174.96,778.39,238.23,801.05,322.87,752.31,380.15,777.11,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_03.jpg,146,590,460,1083,302,681,324,693,313,665,357,693,23.40939982,2,52.15361924,5,1,1,1,1,694,140.43,672.87,487.1,1079.74,170.24,770.7,228.31,795.28,313.09,743.99,371.15,768.57,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_04.jpg,148,576,474,1098,289,668,316,694,332,674,362,703,37.48332963,5.830951895,38.94868419,5.656854249,1,0,0,0,748,147.7,688.84,498.57,1092.04,188.94,777.19,255.63,801.56,332.57,756.67,396.27,781.47,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_05.jpg,154,570,468,1082,300,667,338,689,334,669,365,707,32.24903099,8.062257748,39.56008089,4.242640687,1,0,1,0,798,153.42,681.7,498.14,1083.67,190.72,769.28,252.71,790.3,335,749.69,400.54,774.98,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_06.jpg,148,583,467,1090,303,675,335,703,316,658,360,700,42.52058325,5,56.63920903,3.16227766,1,1,1,1,730,146.77,682.5,487.18,1083.85,180.95,770.7,239.04,795.06,324.96,748.9,389.98,773.69,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_07.jpg,150,569,469,1081,304,663,323,684,333,675,369,692,27.01851217,3.605551275,39.81205847,3.16227766,1,0,1,0,790,153.4,680.84,495.68,1079.11,189.26,765.93,253.74,788.73,334.6,747.41,400.15,770.92,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_08.jpg,171,578,492,1074,258,684,284,713,336,682,372,707,37.64306045,11,41.40048309,6.708203932,1,0,0,0,820,175.06,687.93,511.06,1078.3,223.46,755.67,285.09,782.39,366.67,757.1,429.72,779.54,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_09.jpg,172,590,482,1076,295,670,351,696,360,655,377,700,61.74139616,2.236067977,46.84015371,5.099019514,1,1,1,1,819,166.29,689.27,503,1086.3,213.91,759.77,269.49,783.64,358.19,754.78,416.25,776.87,0,1,1,1,1,1,1
0,R_332_50_M_01_M0_G1_C0_10.jpg,169,583,486,1084,335,664,368,675,362,659,401,683,18.38477631,5,44.29446918,6.08276253,1,0,0,0,801,170.59,690.07,503.62,1084.65,210.92,762.47,273.26,788.12,356.98,758.2,418.25,782.78,0,1,1,1,1,1,1
